"ID","Alg","n","Scheduling_route","T_k","TC_k","Obj"
"29","DRL-MA","3","R1: 0-20-21-22-23-24-25-26-27-28-29-30-31-0 | R2: 0-5-4-1-2-3-32-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-6-0","1086.293 / 534.015 / 1010.564","84.561 / 42.676 / 96.364","592.019 / 223.601 / 552.278"
"30","DRL-MA","3","R1: 0-20-21-22-23-24-25-26-27-28-29-30-31-0 | R2: 0-4-1-2-3-32-5-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-6-0","1086.293 / 534.443 / 1010.564","84.561 / 42.679 / 96.364","592.512 / 223.604 / 551.849"
"31","DRL-MA","3","R1: 0-14-21-22-24-25-26-27-28-29-3-2-1-4-0 | R2: 0-6-12-13-8-7-0 | R3: 0-9-10-11-15-16-17-18-19-20-23-30-31-32-5-0","1117.361 / 427.346 / 1100.033","89.668 / 36.011 / 97.877","594.634 / 223.556 / 690.014"
"32","DRL-MA","3","R1: 0-20-21-22-23-24-25-26-27-28-29-30-31-0 | R2: 0-5-32-4-2-3-1-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-6-0","1086.293 / 536.509 / 1010.564","84.561 / 42.692 / 96.364","594.888 / 223.617 / 549.784"
"33","DRL-MA","3","R1: 0-20-21-22-23-24-25-26-27-28-29-30-31-0 | R2: 0-5-1-2-3-4-32-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-6-0","1086.293 / 537.115 / 1010.564","84.561 / 42.696 / 96.364","595.584 / 223.621 / 549.178"
"34","DRL-MA","3","R1: 0-20-21-22-23-24-25-26-27-28-29-30-31-0 | R2: 0-5-1-2-3-32-4-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-6-0","1086.293 / 537.360 / 1010.564","84.561 / 42.698 / 96.364","595.866 / 223.623 / 548.933"
"35","DRL-MA","3","R1: 0-13-14-21-22-24-25-26-27-28-29-3-2-1-0 | R2: 0-6-12-8-9-7-0 | R3: 0-10-11-15-16-17-18-19-20-23-30-31-32-4-5-0","1090.066 / 436.539 / 1116.648","89.202 / 36.166 / 98.215","596.714 / 223.583 / 680.109"
"36","DRL-MA","3","R1: 0-6-20-21-22-23-24-25-26-27-28-29-30-0 | R2: 0-1-2-3-31-32-4-5-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-0","1106.848 / 610.113 / 920.023","85.190 / 49.793 / 88.661","599.229 / 223.643 / 496.735"
"37","DRL-MA","3","R1: 0-6-20-21-22-23-24-25-26-27-28-29-30-0 | R2: 0-1-2-3-4-32-31-5-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-0","1106.848 / 610.569 / 920.023","85.190 / 49.796 / 88.661","599.753 / 223.646 / 496.279"
"38","DRL-MA","3","R1: 0-20-21-22-23-24-25-26-27-28-29-30-0 | R2: 0-1-2-3-31-32-4-5-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-6-0","1016.811 / 610.113 / 1010.564","77.490 / 49.793 / 96.364","599.782 / 223.646 / 406.698"
"39","DRL-MA","3","R1: 0-20-21-22-23-24-25-26-27-28-29-30-0 | R2: 0-1-2-3-4-32-31-5-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-6-0","1016.811 / 610.569 / 1010.564","77.490 / 49.796 / 96.364","600.306 / 223.649 / 406.242"
"40","DRL-MA","3","R1: 0-20-21-22-23-24-25-26-27-28-29-30-0 | R2: 0-31-32-3-2-1-4-5-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-6-0","1016.811 / 610.904 / 1010.564","77.490 / 49.798 / 96.364","600.692 / 223.651 / 405.906"
